REG_ANS;ano;trimestre;VL_SALDO_FINAL
318213;2025;2;244447046.67
318213;2025;3;382915870.49
318299;2023;4;1610716716.83
318299;2025;1;618015841.2
318299;2025;2;1127220083.91
318388;2023;4;891132339.77
318388;2025;1;239103440.1
318388;2025;2;468605250.62
318388;2025;3;717814300.71
318477;2023;4;560063022.1
318477;2025;1;230246284.18
318477;2025;2;389582014.87
318477;2025;3;540471177.28
318566;2023;4;700081842.83
318566;2025;1;336905730.02
318566;2025;2;620732658.88
318566;2025;3;894539248.31
319121;2023;4;4033412452.95
319121;2025;1;1515831563.75
319121;2025;2;2725312182.5
319121;2025;3;4036643515.69
319180;2023;4;387365557.92
319180;2025;1;127518521.5
319180;2025;2;235666940.17
319180;2025;3;357343652.86
319350;2023;4;15114578.31
319384;2023;4;1178832229.58
319384;2025;1;421508110.17
319384;2025;2;757986531.94
319384;2025;3;1108599235.28
319422;2023;4;487104655.4
319422;2025;1;162202006.08
319422;2025;2;322374513.32
319422;2025;3;485799368.13
319708;2023;4;2020577122.91
319708;2025;1;659359302.84
319708;2025;2;1189487943.36
319708;2025;3;1740156618.03
319872;2023;4;40954141.86
319872;2025;1;16294612.9
319872;2025;2;25414935.99
319872;2025;3;33795341.18
319996;2023;4;9022722120.31
319996;2025;1;3329793867.5
319996;2025;2;5678946957.24
319996;2025;3;8308038455.39
320251;2023;4;1582606361.65
320251;2025;1;526386676.54
320251;2025;2;909464317.4
320251;2025;3;1443742361.3
320510;2023;4;704670540.79
320510;2025;2;147744495.37
320510;2025;3;197393200.89
320706;2023;4;2646934090.96
320706;2025;1;891048196.05
320706;2025;2;1686179382.64
320706;2025;3;2491322621.5
320820;2023;4;336969146.17
320820;2025;1;104788371.62
320820;2025;2;212214455.59
320820;2025;3;318666724.27
320838;2023;4;82938810.1
320838;2025;1;36206854.67
320838;2025;2;53562104.97
320838;2025;3;75709577.76
320862;2023;4;743785569.01
320862;2025;1;251677038.6
320862;2025;2;455473443.03
320862;2025;3;669668155.74
320897;2023;4;567767347.56
320897;2025;1;188042237.05
320897;2025;2;346508739.14
320897;2025;3;538656744.33
321044;2023;4;6945890414.65
321044;2025;1;2110724207.99
321044;2025;2;4048658401.26
321044;2025;3;6098228380.38
321087;2023;4;391065535.24
321087;2025;1;118483889.76
321087;2025;2;229178288.97
321087;2025;3;347613136.5
321125;2023;4;138197004.02
321125;2025;1;44495546.51
321125;2025;2;82406076.58
321125;2025;3;124337516.38
321273;2023;4;4208014067.29
321273;2025;1;1278935306.94
321273;2025;2;2476073090.19
321273;2025;3;3720458451.07
